identifier,SMILES,test,natoms,MW,logP,QED,SA,NP,TPSA,BertzCT
CNP0531142.0,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0,13,180.16699999999997,-1.0397,0.5624722357827983,2.4717518379209142,-1.114141122938831,72.68,574.1705593822572
CNP0290450.2,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0,38,527.5740000000002,0.46980000000000227,0.3025327115135259,4.583037100726461,1.1040440508359761,170.86999999999998,1292.9870763029267
CNP0194094.4,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,0,12,179.17200000000003,-3.2549999999999994,0.28843989800463615,3.8441981314179445,2.138382702986375,116.17000000000002,150.1189836302382
CNP0194094.5,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,0,12,179.17200000000003,-3.2549999999999994,0.28843989800463615,3.8441981314179445,2.138382702986375,116.17000000000002,150.1189836302382
CNP0260135.6,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,0,25,334.41900000000004,2.0925000000000002,0.6813170466380937,5.722969588369994,3.047880194219281,32.78,848.052733715765
CNP0206498.3,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,0,41,581.7470000000003,2.6704000000000017,0.2738139993611717,5.903421013739355,2.088244674958077,135.13,940.5493196674519
CNP0540246.0,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0,13,180.16699999999997,-1.0397000000000005,0.5624722357827983,2.5435777719868486,-0.7501048146332537,72.68,574.1705593822571
CNP0155198.0,c1cnc2c(c1)ccc1cccnc12,0,14,180.20999999999998,2.7830000000000004,0.4969799703454515,1.8236344318459832,-0.5221347499316144,25.78,547.2925174892929
CNP0222771.4,C=Cc1c(C)c2cc3nc(c4c5nc(cc6[nH]c(cc1[nH]2)c(C)c6CC)C(C)=C5C(=O)[C@@H]4C(=O)OC)[C@@H](CCC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]3C,0,64,871.2199999999995,13.503139999999973,0.06573519740654164,7.1985679118561,1.2673117894642656,127.03000000000002,2479.926732953322
CNP0224402.5,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,28,392.5800000000002,4.477900000000004,0.659162096020487,4.342197616220406,2.42858258638235,77.76,605.412568486979
CNP0202730.2,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-1,27,376.5810000000002,5.507100000000006,0.6802315567711569,4.115797961838021,2.319502018787993,57.53,573.9735940164148
CNP0217124.3,COc1c(O)ccc2c1-c1c3c(cc4c1[C@H](C2)N(C)CC4)OCO3,0,24,325.3640000000001,2.8816000000000015,0.8736024618305054,3.300138550494662,1.968061712087171,51.16000000000001,861.1757846095304
CNP0218718.2,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,0,27,396.54900000000026,4.342400000000003,0.5667509332513723,4.274372180833104,2.4255155641631183,80.67,771.4414718993218
CNP0544643.0,O=c1c2ccccc2nc2n1Cc1ccccc1-2,0,18,234.25799999999998,2.4252000000000002,0.4680891506505908,1.975685092174789,-0.49520132734904443,34.89,833.2614800948971
CNP0549378.0,CN=c1cc2ccn(C)c(Cc3ccc(OC)c(OC)c3)c-2cc1OC,0,26,352.4340000000001,3.277000000000002,0.707841069463003,2.7351616285574423,-0.02350868215492307,44.980000000000004,960.0392874252486
CNP0536069.0,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)O)c5C)c(CCC(=O)O)c4C)C(CCC(=O)O)=C3C,0,48,654.7200000000001,6.557040000000004,0.12398270806875299,5.339775283189633,0.2288677336043583,206.55999999999995,2097.534339941114
CNP0505249.0,CC(=CCCC(=CC(=O)O)C(=O)O)CCC=C(C)CCC1C(C)C(=O)CCC1(C)C,0,30,418.5740000000003,5.956600000000006,0.31910835094509765,4.0851492315808,2.09986639633468,91.66999999999999,723.8210151374229
CNP0589992.0,CC(=CCCC(=CC(=O)O)C(=O)O)CCC=C(C)CCC1C(C)CCCC1(C)C,1,29,404.5910000000003,6.777600000000007,0.2939506114311069,3.916953522730699,2.176948285507393,74.6,651.7345057291124
CNP0601080.0,CC(=CCCC(=CC(=O)O)C(=O)O)CCC=C(C)CCC1C(C)CCCC1(C)C,0,29,404.5910000000003,6.777600000000007,0.2939506114311069,3.916953522730699,2.176948285507393,74.6,651.7345057291124
CNP0207194.2,CCCCC1=C2NC(=N)N[C@H]3CC[C@@H](C[C@@H]1C)[C@@H]23,0,18,247.38599999999997,2.9928700000000017,0.7177631243557744,4.781657151452647,1.6771632416153723,47.910000000000004,385.19995264621275
CNP0337013.4,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0,28,423.4720000000001,0.4754000000000007,0.3656398276309724,3.4057138973514274,-0.3186849854534785,125.89999999999999,844.554289361781
