---2025-10-31 17:56:29.773242: start.---
GPU [1,2,3] is available: True
DDP is available: True

---2025-10-31 17:56:35.065893: Loading data. ---
load: /raid/home/xukai/FRATTVAE/results/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral_struct_1031/input_data/params.yml

data: /raid/home/xukai/FRATTVAE/data/chembl_36_20251023_r1r10w1100w900_standardized_f_dyn_oral.csv
train: 1305313, valid: 72129, test: 72640, useChiral: True, n_jobs: 10
fragments: 149556, feature: 39, tree: (32, 16), prop: None
---2025-10-31 17:59:30.394686: Loading data done. (elapsed time: 00:00:02:55)---

---2025-10-31 17:59:36.790779: Training start (valid: True).---
epoch: 1000, batch_size: 900, learning_rate: 0.0001, dropout: 0.1, save: 200, kl_w: 0.0005, l_w: 6.0, p_w: 1.0
[001/1000] <train> total: 71.6673, unweighted: 117.0754, kl: 105.1396, label: 11.9358, prop: 0.0000, label_acc: 0.1046, label_pad_acc: 0.0455, elapsed time: 00:00:03:47
[005/1000] <train> total: 67.5612, unweighted: 157.3308, kl: 146.0828, label: 11.2480, prop: 0.0000, label_acc: 0.1905, label_pad_acc: 0.1277, elapsed time: 00:00:03:39
[010/1000] <train> total: 54.1883, unweighted: 251.8531, kl: 242.8420, label: 9.0111, prop: 0.0000, label_acc: 0.2130, label_pad_acc: 0.4791, elapsed time: 00:00:03:42
[015/1000] <train> total: 37.8937, unweighted: 333.9888, kl: 327.7005, label: 6.2883, prop: 0.0000, label_acc: 0.2071, label_pad_acc: 0.4502, elapsed time: 00:00:03:52
[020/1000] <train> total: 26.8686, unweighted: 370.8627, kl: 366.4152, label: 4.4476, prop: 0.0000, label_acc: 0.2156, label_pad_acc: 0.4713, elapsed time: 00:00:03:58
[025/1000] <train> total: 19.9796, unweighted: 380.4109, kl: 377.1124, label: 3.2985, prop: 0.0000, label_acc: 0.2356, label_pad_acc: 0.4850, elapsed time: 00:00:03:55
[030/1000] <train> total: 15.7310, unweighted: 372.6145, kl: 370.0235, label: 2.5910, prop: 0.0000, label_acc: 0.2608, label_pad_acc: 0.5123, elapsed time: 00:00:04:00
[035/1000] <train> total: 13.0511, unweighted: 361.6044, kl: 359.4592, label: 2.1452, prop: 0.0000, label_acc: 0.2864, label_pad_acc: 0.5303, elapsed time: 00:00:03:56
[040/1000] <train> total: 11.3119, unweighted: 349.4237, kl: 347.5674, label: 1.8564, prop: 0.0000, label_acc: 0.3107, label_pad_acc: 0.5557, elapsed time: 00:00:03:59
[045/1000] <train> total: 10.0487, unweighted: 336.7491, kl: 335.1023, label: 1.6469, prop: 0.0000, label_acc: 0.3344, label_pad_acc: 0.5729, elapsed time: 00:00:04:00
[050/1000] <train> total: 9.1448, unweighted: 323.7619, kl: 322.2646, label: 1.4973, prop: 0.0000, label_acc: 0.3547, label_pad_acc: 0.5867, elapsed time: 00:00:03:59
[055/1000] <train> total: 8.4453, unweighted: 313.3012, kl: 311.9196, label: 1.3816, prop: 0.0000, label_acc: 0.3740, label_pad_acc: 0.6011, elapsed time: 00:00:03:55
[060/1000] <train> total: 7.8855, unweighted: 302.8731, kl: 301.5839, label: 1.2891, prop: 0.0000, label_acc: 0.3925, label_pad_acc: 0.6192, elapsed time: 00:00:03:58
[065/1000] <train> total: 7.4339, unweighted: 293.1514, kl: 291.9368, label: 1.2146, prop: 0.0000, label_acc: 0.4083, label_pad_acc: 0.6310, elapsed time: 00:00:03:58
[070/1000] <train> total: 7.0124, unweighted: 285.3393, kl: 284.1942, label: 1.1450, prop: 0.0000, label_acc: 0.4235, label_pad_acc: 0.6405, elapsed time: 00:00:03:50
[075/1000] <train> total: 6.6940, unweighted: 275.0543, kl: 273.9615, label: 1.0928, prop: 0.0000, label_acc: 0.4368, label_pad_acc: 0.6486, elapsed time: 00:00:03:51
[080/1000] <train> total: 6.4190, unweighted: 269.2351, kl: 268.1876, label: 1.0475, prop: 0.0000, label_acc: 0.4494, label_pad_acc: 0.6570, elapsed time: 00:00:03:50
[085/1000] <train> total: 6.1703, unweighted: 261.7500, kl: 260.7433, label: 1.0067, prop: 0.0000, label_acc: 0.4612, label_pad_acc: 0.6626, elapsed time: 00:00:03:54
[090/1000] <train> total: 5.9518, unweighted: 257.3109, kl: 256.3403, label: 0.9706, prop: 0.0000, label_acc: 0.4712, label_pad_acc: 0.6693, elapsed time: 00:00:02:44
[095/1000] <train> total: 5.7326, unweighted: 250.2226, kl: 249.2880, label: 0.9347, prop: 0.0000, label_acc: 0.4814, label_pad_acc: 0.6765, elapsed time: 00:00:03:00
[100/1000] <train> total: 5.5496, unweighted: 246.5481, kl: 245.6436, label: 0.9045, prop: 0.0000, label_acc: 0.4909, label_pad_acc: 0.6825, elapsed time: 00:00:03:50
[105/1000] <train> total: 5.4029, unweighted: 239.6175, kl: 238.7369, label: 0.8806, prop: 0.0000, label_acc: 0.4987, label_pad_acc: 0.6872, elapsed time: 00:00:03:49
[110/1000] <train> total: 5.2389, unweighted: 236.1157, kl: 235.2622, label: 0.8535, prop: 0.0000, label_acc: 0.5072, label_pad_acc: 0.6913, elapsed time: 00:00:03:56
[115/1000] <train> total: 5.1189, unweighted: 230.1395, kl: 229.3055, label: 0.8340, prop: 0.0000, label_acc: 0.5144, label_pad_acc: 0.6977, elapsed time: 00:00:04:04
[120/1000] <train> total: 4.9851, unweighted: 224.3234, kl: 223.5111, label: 0.8122, prop: 0.0000, label_acc: 0.5222, label_pad_acc: 0.6998, elapsed time: 00:00:03:13
[125/1000] <train> total: 4.8754, unweighted: 220.7741, kl: 219.9798, label: 0.7942, prop: 0.0000, label_acc: 0.5288, label_pad_acc: 0.7057, elapsed time: 00:00:02:58
[130/1000] <train> total: 4.7541, unweighted: 216.0554, kl: 215.2810, label: 0.7744, prop: 0.0000, label_acc: 0.5353, label_pad_acc: 0.7096, elapsed time: 00:00:03:52
[135/1000] <train> total: 4.6586, unweighted: 213.2854, kl: 212.5267, label: 0.7587, prop: 0.0000, label_acc: 0.5408, label_pad_acc: 0.7139, elapsed time: 00:00:02:49
[140/1000] <train> total: 4.5687, unweighted: 211.2679, kl: 210.5240, label: 0.7439, prop: 0.0000, label_acc: 0.5478, label_pad_acc: 0.7179, elapsed time: 00:00:03:48
[145/1000] <train> total: 4.4776, unweighted: 206.1521, kl: 205.4230, label: 0.7292, prop: 0.0000, label_acc: 0.5532, label_pad_acc: 0.7211, elapsed time: 00:00:03:57
[150/1000] <train> total: 4.4056, unweighted: 203.4350, kl: 202.7176, label: 0.7174, prop: 0.0000, label_acc: 0.5579, label_pad_acc: 0.7248, elapsed time: 00:00:03:55
[155/1000] <train> total: 4.3308, unweighted: 200.6535, kl: 199.9484, label: 0.7051, prop: 0.0000, label_acc: 0.5631, label_pad_acc: 0.7282, elapsed time: 00:00:03:46
[160/1000] <train> total: 4.2491, unweighted: 196.5802, kl: 195.8884, label: 0.6919, prop: 0.0000, label_acc: 0.5680, label_pad_acc: 0.7316, elapsed time: 00:00:03:49
[165/1000] <train> total: 4.1738, unweighted: 194.3000, kl: 193.6205, label: 0.6795, prop: 0.0000, label_acc: 0.5721, label_pad_acc: 0.7335, elapsed time: 00:00:03:46
[170/1000] <train> total: 4.1270, unweighted: 191.5660, kl: 190.8941, label: 0.6719, prop: 0.0000, label_acc: 0.5763, label_pad_acc: 0.7364, elapsed time: 00:00:03:54
[175/1000] <train> total: 4.0575, unweighted: 189.9797, kl: 189.3192, label: 0.6605, prop: 0.0000, label_acc: 0.5811, label_pad_acc: 0.7395, elapsed time: 00:00:03:47
[180/1000] <train> total: 3.9899, unweighted: 188.1363, kl: 187.4869, label: 0.6494, prop: 0.0000, label_acc: 0.5851, label_pad_acc: 0.7421, elapsed time: 00:00:03:55
[185/1000] <train> total: 3.9436, unweighted: 184.4067, kl: 183.7647, label: 0.6420, prop: 0.0000, label_acc: 0.5876, label_pad_acc: 0.7448, elapsed time: 00:00:03:56
[190/1000] <train> total: 3.8878, unweighted: 183.3614, kl: 182.7286, label: 0.6327, prop: 0.0000, label_acc: 0.5921, label_pad_acc: 0.7462, elapsed time: 00:00:03:58
[195/1000] <train> total: 3.8308, unweighted: 180.8349, kl: 180.2115, label: 0.6235, prop: 0.0000, label_acc: 0.5958, label_pad_acc: 0.7499, elapsed time: 00:00:03:51
[200/1000] <valid> total: 105.9825, unweighted: 197.4561, kl: 179.8074, label: 17.6488, prop: 0.0000, label_acc: 0.6127, label_pad_acc: 0.7790, elapsed time: 00:00:03:48
model_iter200 saved.
[200/1000] <train> total: 3.7835, unweighted: 178.0746, kl: 177.4588, label: 0.6158, prop: 0.0000, label_acc: 0.5989, label_pad_acc: 0.7526, elapsed time: 00:00:03:49
[205/1000] <train> total: 3.7374, unweighted: 176.4673, kl: 175.8591, label: 0.6082, prop: 0.0000, label_acc: 0.6015, label_pad_acc: 0.7547, elapsed time: 00:00:03:54
[210/1000] <train> total: 3.6920, unweighted: 174.3436, kl: 173.7428, label: 0.6008, prop: 0.0000, label_acc: 0.6052, label_pad_acc: 0.7561, elapsed time: 00:00:03:51
